COD_COLABORADOR,PRIMEIRO_NOME,ULTIMO_NOME,EMAIL,CPF,DATA_NASCIMENTO,ENDERECO,CEP,COD_GERENTE,COD_LOCALIDADE
1,Mirella,Martins,dda-mata@example.net,081.735.946-00,1966-02-04,"Estação de Teixeira
Vila Madre Gertrudes 2ª Seção
04133-564 Araújo de Pires / PE",92847600,2,568
2,Lara,Santos,pteixeira@example.com,768.541.203-90,1988-06-25,"Área de Martins, 54
Conjunto Bonsucesso
43484658 Porto Paulista / AM",68997-717,3,116
3,Luiz Henrique,Rocha,rodriguesolivia@example.net,934.210.785-05,1969-12-18,"Alameda de Fogaça, 60
Araguaia
33543-326 Moraes de Santos / CE",26210551,4,223
4,Marcela,da Conceição,mcosta@example.com,139.467.025-70,1989-06-05,"Avenida de Campos, 513
Tres Marias
67624232 Correia / AM",66423556,5,89
5,Alexandre,Nascimento,olivia97@example.org,719.360.824-03,1979-04-13,"Aeroporto Maria Cecília Rocha, 39
Serra Do Curral
08025-854 Cardoso da Praia / MA",42178150,6,357
6,Juan,Barbosa,cavalcantithomas@example.org,403.527.198-50,1994-05-05,"Sítio da Rocha, 55
Primeiro De Maio
28360-153 da Costa do Campo / RJ",42832-180,7,676
7,Arthur,Almeida,joaquim97@example.org,057.264.198-20,1984-09-15,"Viaduto de Gonçalves, 74
São Cristóvão
01429653 Silveira Grande / AM",34036-919,8,126
8,Ana Julia,Santos,novaesjoaquim@example.com,369.805.217-21,1977-07-12,"Sítio de Costa, 35
Vila Nova Cachoeirinha 3ª Seção
63293-091 Costela de Nunes / PA",12336451,9,514
9,Thomas,Oliveira,costabryan@example.com,308.254.197-60,1968-09-26,"Núcleo Laís Azevedo, 5
Araguaia
54719-411 Campos / MT",98970895,10,469
10,Raul,da Conceição,monteiroelisa@example.net,185.962.374-37,1973-07-22,"Loteamento de Ramos, 606
São Gabriel
47376-720 Costela / PI",31750769,11,614
11,Rafael,Carvalho,danielafernandes@example.org,726.153.049-25,1991-04-26,"Morro de Ferreira, 535
Marilandia
97024998 da Luz da Mata / PE",73390-636,12,575
12,Ryan,da Conceição,giovannacavalcanti@example.net,342.506.918-70,1978-02-14,"Estação de Rezende, 33
Vila Betânia
65202-821 Silva / PI",59741896,13,635
13,Marcela,Rocha,henriqueda-luz@example.com,503.247.891-14,1964-03-16,"Ladeira de Porto, 9
Distrito Industrial Do Jatoba
71922-717 Lima de Souza / SE",42103-068,14,917
14,João Lucas,Santos,araujoana-vitoria@example.net,813.769.540-01,1984-11-13,"Condomínio Araújo
Vera Cruz
78170-346 da Paz da Serra / SE",75795-729,15,909
15,Luigi,Moraes,camposgiovanna@example.org,761.038.529-86,1973-07-06,"Distrito Pinto, 107
Vila São Francisco
49169341 Santos de Minas / TO",41720355,16,1022
16,João Pedro,Rodrigues,pauloviana@example.com,785.630.924-56,1976-07-07,"Largo Rafaela Melo, 70
Ouro Minas
69059-793 das Neves / RJ",89639-006,17,681
17,Brenda,Gomes,laragao@example.com,716.820.954-01,1984-11-02,"Vale de da Rocha, 10
Conjunto São Francisco De Assis
67758-550 Moraes / PR",62228145,18,656
18,Isabel,Melo,costabenicio@example.org,028.631.975-68,1983-02-17,"Recanto de Ribeiro, 68
Vila Fumec
92500120 Viana / GO",90019993,19,351
19,Enrico,Lopes,oviana@example.com,196.574.038-39,1978-11-08,"Ladeira de Teixeira, 4
São Vicente
74386-933 das Neves / TO",98758451,20,1004
20,Marcelo,Ramos,heitor34@example.org,279.438.056-74,1984-04-03,"Praia Daniela Nunes, 10
Vila Trinta E Um De Março
92370116 Silva Grande / AP",74002-728,21,159
21,Bruno,da Paz,wmoura@example.org,534.062.971-61,1982-05-07,"Alameda de Aragão, 5
Monte Azul
28055-168 Jesus / SC",64363-566,22,885
22,Laura,Cunha,lviana@example.org,217.583.096-95,1971-05-21,"Núcleo Costa, 60
Vila Pinho
23585489 da Conceição / RJ",19415-341,23,675
23,Alana,Gomes,samuel76@example.com,768.134.950-20,1971-08-13,"Fazenda Emilly Costa
Campo Alegre
55916-800 da Cunha de Rocha / SE",88161-168,24,907
24,Maitê,Correia,carlos-eduardo92@example.com,031.248.796-78,1991-02-14,"Largo de Lima, 13
Boa União 1ª Seção
49023-064 Rocha do Sul / PE",94709-044,25,601
25,Pietra,da Mota,ianviana@example.net,452.389.017-04,1989-01-03,"Trevo Bruno Azevedo
Engenho Nogueira
17313-814 Porto de Goiás / RN",71636-333,26,743
26,Pietra,Caldeira,gustavo-henriquecastro@example.com,725.083.916-03,1971-08-24,"Morro de Barbosa, 34
Outro
67244639 Barbosa de Melo / RS",60848973,27,833
27,Vitória,Ramos,barbara58@example.com,814.096.532-42,1991-04-16,"Fazenda de Pinto, 27
Pirineus
57057184 da Paz / MS",36777-821,28,436
28,Pedro Lucas,Silveira,kda-cunha@example.com,823.456.790-00,1994-01-26,"Trecho de Duarte, 903
Leticia
22951015 Nascimento / RR",87312248,29,809
29,Theo,Peixoto,ncosta@example.net,578.310.962-21,1979-02-22,"Fazenda Peixoto, 68
Marieta 3ª Seção
99059-719 Porto / SE",47431-701,30,925
30,Helena,Lopes,antoniomonteiro@example.org,928.706.341-96,1978-08-12,"Área Enrico Caldeira, 9
Santa Cecilia
37808172 Rocha da Prata / PB",48143-984,31,558
31,João Gabriel,Sales,emanuella17@example.net,784.290.531-23,1975-09-22,"Viaduto Evelyn Barros, 3
Esperança
32106-213 Alves / AP",68318-573,32,130
32,Rafael,Lima,barbara20@example.com,258.134.067-35,1992-08-02,"Rua Barros, 31
Nossa Senhora De Fátima
18227383 Costela de da Conceição / AL",99670827,33,40
33,Nina,da Paz,marcos-vinicius15@example.com,015.248.769-76,1985-05-27,"Aeroporto Sales, 9
Dom Cabral
65434-712 Duarte de da Mota / SE",58132667,34,912
34,Agatha,das Neves,sdas-neves@example.com,019.483.562-60,1988-11-02,"Travessa Luiz Fernando Melo, 97
Vila Independencia 2ª Seção
80540477 Moura da Mata / MS",44195-945,35,453
35,Marcos Vinicius,da Rosa,joao-miguel07@example.org,637.041.925-70,1974-04-01,"Fazenda Eduarda Porto, 67
Etelvina Carneiro
39556484 da Costa Grande / ES",86752-241,36,289
36,Vinicius,Campos,barbosabrenda@example.org,708.149.532-04,1964-06-27,"Lagoa Barbosa, 77
Universo
85582-964 Correia / PE",49172-842,37,571
37,Sofia,Azevedo,olima@example.com,839.601.524-42,1979-10-08,"Lago Cavalcanti, 44
Alípio De Melo
79911971 da Costa das Flores / RO",81730-841,38,760
38,Camila,Ribeiro,rebecada-mata@example.org,364.250.871-53,1993-08-16,"Viaduto Alves, 57
Lagoinha Leblon
19017833 Vieira / AP",124512,39,160
39,Antônio,Castro,zrodrigues@example.net,364.597.280-38,1995-11-12,"Conjunto Ryan Carvalho, 75
Conjunto Califórnia Ii
65394122 Gomes / PE",22246783,40,590
40,Alícia,Viana,fogacamarcos-vinicius@example.net,704.658.329-38,1983-09-12,"Lago de Teixeira, 3
Ernesto Nascimento
44077-006 Jesus da Praia / BA",62996547,41,180
41,Leandro,Costela,jesusgabriela@example.net,370.614.892-78,1984-06-06,"Loteamento de da Mata, 36
Flavio De Oliveira
18599473 Silva Alegre / GO",92652-614,42,348
42,Vitor Hugo,Nunes,alicepires@example.com,249.701.836-78,1975-02-12,"Colônia da Cruz, 1
Santa Maria
75913-235 Farias de Teixeira / ES",95335-891,43,297
43,Ana Sophia,Carvalho,psilva@example.com,268.591.047-67,1987-02-23,"Travessa Isabelly Souza, 868
Vila Santa Monica 2ª Seção
73034259 Lopes da Mata / AP",58533-744,44,146
44,Isadora,Cunha,apires@example.org,092.831.567-30,1980-04-25,"Alameda João Costa
Floresta
95994401 Souza / SE",12762-736,45,931
45,Clara,Correia,acostela@example.org,693.152.048-24,1978-05-27,"Setor de Viana, 67
São João
98839-500 Alves / AL",71461807,46,27
46,Rafael,Moraes,lduarte@example.net,109.432.765-43,1995-03-18,"Lagoa Enzo Moura, 66
Vila Madre Gertrudes 3ª Seção
44664-118 Vieira da Prata / AL",24868-213,47,82
47,Melissa,Nogueira,viniciusdas-neves@example.net,130.689.472-78,1993-06-21,"Parque Silva, 7
Vila Petropolis
79567620 Mendes / AC",23888851,48,14
48,Lara,Rodrigues,leandrocastro@example.net,146.302.589-06,1978-10-28,"Residencial Porto, 3
Heliopolis
39008566 Farias da Mata / RJ",15491268,49,684
49,Igor,Moraes,rramos@example.com,801.742.965-76,1995-10-25,"Fazenda Moraes, 40
Miramar
57387761 da Costa / MA",47761-573,50,360
50,Catarina,Alves,raulda-cruz@example.com,514.097.283-23,1984-12-30,"Loteamento de Araújo, 9
Vila Das Oliveiras
26589090 Peixoto / RR",27317784,51,811
51,Marina,Pinto,araujofelipe@example.org,654.829.013-51,1984-07-02,"Lagoa Guilherme Silva, 20
Jaqueline
19436792 Alves / SP",16385-324,52,935
52,Maria Eduarda,Freitas,usantos@example.net,276.304.895-10,1985-05-14,"Esplanada Pires, 2
Caetano Furquim
45896988 da Paz de Minas / AP",46172160,53,139
53,Ryan,das Neves,maria-alicerezende@example.org,320.641.859-33,1976-10-16,"Trevo de da Rocha, 457
Santa Cecilia
54134089 Ribeiro Grande / RS",93581-741,54,864
54,Isabelly,Cunha,maria-alice02@example.net,817.564.209-20,1980-05-20,"Recanto Laís Azevedo, 83
Santa Isabel
03244-253 Dias / MG",94975231,55,404
55,Vitor Gabriel,Carvalho,caiopires@example.net,916.437.802-04,1985-09-16,"Avenida Freitas, 478
Xangri-Lá
40952841 Fogaça / PE",65401082,56,588
