NUM_CONTA,COD_CLIENTE,COD_AGENCIA,COD_COLABORADOR,TIPO_CONTA,DATA_ABERTURA,SALDO_TOTAL,SALDO_DISPONIVEL,DATA_ULTIMO_LANCAMENTO
418,418,8,47,PF,2021-02-07 11:00:00.000,31.1712000000000000,23.61000000000000000,2022-09-15 08:40:50.330
628,628,7,71,PF,2016-08-17 11:09:00.000,30.5760000000000000,21.84000000000000300,2016-09-15 18:16:28.295
684,684,7,42,PF,2021-12-11 15:16:00.000,756.3908000000000000,714.33000000000000000,2021-12-23 22:23:59.640
478,478,7,14,PF,2017-09-15 13:25:00.000,133.1190000000000300,103.61000000000003000,2018-02-16 16:02:44.489
8,8,3,73,PF,2017-10-02 16:08:00.000,1714.2042000000001000,1589.23000000000000000,2018-09-29 07:13:57.964
667,667,3,73,PF,2014-11-11 13:16:00.000,697.7026000000000000,610.88999999999990000,2014-12-02 14:38:53.559
303,303,3,51,PF,2014-09-14 14:53:00.000,318.8814000000000000,295.63000000000000000,2014-09-25 20:24:45.506
468,468,7,7,PF,2019-03-11 13:03:00.000,6.3342000000000045,40.38000000000001000,2019-09-28 16:44:27.350
164,164,8,23,PF,2021-01-05 11:43:00.000,968.6614000000000000,982.18000000000000000,2021-01-19 07:20:44.741
184,184,5,49,PF,2020-08-25 12:37:00.000,41.1620000000000000,24.57999999999999500,2020-11-07 15:14:51.216
19,19,7,71,PF,2016-08-22 16:54:00.000,457.6231224946651000,334.98992688175946000,2017-06-07 05:53:54.915
807,807,7,33,PF,2017-10-07 14:22:00.000,15951.2265000000020000,16090.95000000000300000,2017-10-31 18:36:26.480
17,17,7,7,PF,2020-08-04 15:16:00.000,292.7681282671103000,261.06507314683200000,2020-11-04 22:41:19.766
989,989,2,70,PF,2019-01-21 11:47:00.000,1.0281999999999856,11.60999999999998700,2019-04-14 05:57:13.138
438,438,8,5,PF,2020-03-10 16:32:00.000,1675.6729974715088000,1157.07907173287840000,2020-06-26 23:08:03.840
930,930,5,2,PF,2022-04-13 13:52:00.000,12.0098000000000070,241.26000000000002000,2022-06-05 18:19:28.664
434,434,7,7,PF,2021-05-23 16:28:00.000,2104.8228000000004000,1589.91000000000000000,2021-06-29 00:35:21.019
532,532,7,33,PF,2018-07-06 11:41:00.000,106.3793999999999900,77.95999999999998000,2019-02-17 09:43:54.858
888,888,3,73,PF,2021-02-22 15:25:00.000,386.7189000000000000,345.95000000000005000,2022-02-08 03:40:01.354
109,109,7,100,PF,2022-02-05 14:42:00.000,53.1436805013716000,526.00711157534410000,2022-02-11 12:36:30.529
734,734,1,75,PF,2013-10-24 10:03:00.000,80591.8188000000000000,79776.98999999999000000,2014-03-01 15:30:50.284
801,801,7,100,PF,2019-11-15 12:08:00.000,37311.1170000000000000,36881.39999999999400000,2020-07-31 06:50:30.629
352,352,7,33,PF,2021-04-07 15:37:00.000,317.8552000000000000,288.86000000000000000,2021-05-05 05:17:11.735
637,637,9,68,PF,2022-11-21 11:42:00.000,1130.1090000000000000,705.89880207987030000,2022-12-29 04:01:15.931
947,947,4,57,PF,2021-08-10 11:21:00.000,176.9130000000000700,150.03000000000010000,2021-08-26 12:48:08.413
490,490,2,70,PF,2012-03-02 15:43:00.000,78.5233993466106500,35.27520765271942000,2012-04-15 02:52:06.982
674,674,3,91,PF,2014-12-25 14:52:00.000,1902.3340815365762000,1859.99408153657620000,2015-08-08 08:10:33.605
673,673,7,7,PF,2017-12-03 15:52:00.000,60.2514000000000040,29.90000000000000000,2017-12-30 19:56:28.775
198,198,1,61,PF,2011-08-14 15:18:00.000,586.5684466387872000,460.35392877552160000,2018-05-16 08:42:25.342
207,207,4,57,PF,2017-07-23 14:51:00.000,200.6050000000000200,178.91000000000000000,2017-12-26 19:30:28.846
654,654,7,33,PF,2016-08-07 13:08:00.000,27.8453607736039640,20.56536077360396300,2016-09-09 07:41:45.219
927,927,7,33,PF,2017-07-22 10:19:00.000,25.3375999999999880,12858.68000000000000000,2018-04-13 20:52:33.758
729,729,7,14,PF,2021-12-04 14:02:00.000,59.8841999999999800,27.67999999999998000,2021-12-19 08:08:43.858
273,273,2,95,PF,2022-07-22 11:28:00.000,2610.7110442459590000,1637.82504096848020000,2022-09-29 03:42:33.052
45,45,3,91,PF,2015-11-14 12:14:00.000,132.0207611788490900,82.35362492955356000,2016-01-09 19:21:34.103
483,483,7,7,PF,2022-09-09 14:54:00.000,704.4018000000001000,623.77000000000000000,2022-12-01 11:38:15.689
158,158,5,67,PF,2021-09-28 13:49:00.000,10785.1296000000000000,10200.31000000000000000,2022-09-12 23:46:38.153
193,193,7,7,PF,2017-02-27 11:46:00.000,38.5840000000000000,0.96000000000000090,2017-04-16 02:33:54.919
280,280,7,100,PF,2016-09-22 14:06:00.000,3.0367999999999777,12517.92000000000000000,2016-11-16 02:33:40.384
407,407,7,42,PF,2022-02-14 10:41:00.000,18.6286999999999380,311.10999999999990000,2022-08-18 16:13:03.735
497,497,2,81,PF,2011-01-10 16:03:00.000,137.8080000000000200,121.86000000000000000,2011-03-29 22:48:28.956
619,619,7,71,PF,2022-04-22 11:48:00.000,511.6024000000000500,423.06000000000000000,2022-05-14 16:25:44.300
218,218,5,15,PF,2015-07-20 16:26:00.000,323.8144000000000300,228.75000000000000000,2015-09-29 02:12:19.420
736,736,3,98,PF,2016-10-06 14:55:00.000,87.0619999999999500,41.26999999999996000,2016-11-11 13:30:02.409
507,507,7,42,PF,2017-10-05 14:19:00.000,5.5019999999999945,0.63999999999999520,2017-11-15 15:00:18.931
159,159,7,7,PF,2018-12-08 15:47:00.000,53761.8620000000000000,48862.72999999999600000,2020-05-29 01:35:06.768
465,465,3,98,PF,2018-06-16 15:54:00.000,6182.6490000000000000,6193.16000000000100000,2018-06-22 17:50:23.164
308,308,7,7,PF,2017-06-02 14:30:00.000,23.2060999999999920,4.74999999999999300,2018-06-28 23:41:52.884
997,997,2,85,PF,2020-10-27 15:06:00.000,15973.3326999999970000,15316.74999999999600000,2022-12-10 12:10:30.017
665,665,1,3,PF,2021-09-26 12:01:00.000,7841.4630000000000000,8148.75999999999900000,2022-04-09 18:27:14.668
589,589,8,69,PF,2019-07-25 15:11:00.000,28519.7934000000020000,29099.04000000000000000,2020-03-15 09:15:58.152
203,203,7,7,PF,2022-04-12 16:29:00.000,737.3322000000001000,49879.78000000000000000,2022-06-11 13:40:58.353
632,632,7,71,PF,2017-10-25 15:11:00.000,46.4310000000000100,10.47000000000001000,2019-09-02 19:59:12.595
599,599,7,33,PF,2022-12-28 10:45:00.000,1553.5972000000002000,1303.36000000000010000,2023-01-20 20:27:24.663
836,836,8,6,PF,2020-03-08 15:55:00.000,240.0453000000000000,173.30000000000000000,2020-12-28 02:46:38.836
753,753,7,33,PF,2016-11-19 11:51:00.000,15.4535018336553790,2.26887942209732600,2019-03-11 16:55:41.594
825,825,5,34,PF,2013-12-15 12:03:00.000,814.0722000000002000,806.97000000000010000,2014-01-06 18:44:11.395
258,258,8,41,PF,2019-05-13 14:02:00.000,16.1760000000000100,3.75000000000000900,2020-10-25 08:32:55.092
257,257,1,60,PF,2011-02-05 14:09:00.000,38.7795000000000000,30.68999999999999800,2011-02-19 19:53:30.274
475,475,6,4,PF,2017-08-19 11:11:00.000,53.4589999999999800,25.66999999999998400,2020-05-28 14:59:58.512
567,567,8,89,PF,2018-08-10 12:56:00.000,31.0662379397354000,9.35777164125981300,2020-03-07 04:14:08.065
671,671,3,91,PF,2014-10-17 12:33:00.000,91.6978078720552800,114.31642924041768000,2014-11-19 16:12:27.071
100,100,7,100,PF,2020-06-15 13:28:00.000,763.2427040588586000,782.33814851428720000,2020-10-26 06:51:17.908
521,521,7,71,PF,2019-10-05 10:55:00.000,92.8680000000000200,76.06000000000002000,2019-12-30 03:06:49.432
214,214,3,98,PF,2013-09-05 14:05:00.000,117.7054000000000000,63.37999999999999500,2013-12-02 08:57:06.118
976,976,4,1,PF,2015-04-16 13:56:00.000,5.4511192764396850,123.36234881207736000,2016-07-01 02:24:45.984
906,906,7,71,PF,2021-05-18 13:20:00.000,153.8775000000000000,89.62999999999998000,2021-06-06 18:28:44.904
929,929,1,60,PF,2022-08-09 15:52:00.000,115.7184000000000200,136.51000000000002000,2022-11-23 21:38:33.780
118,118,1,32,PF,2018-10-12 13:02:00.000,11.0250000000000150,64.57000000000002000,2019-08-25 13:55:18.370
679,679,1,18,PF,2015-09-22 14:34:00.000,17741.9663000000000000,17201.25000000000000000,2015-12-29 10:00:01.667
751,751,9,46,PF,2021-05-02 14:49:00.000,11045.4816000000010000,11423.85000000000000000,2021-09-20 17:47:04.367
537,537,6,28,PF,2017-03-27 11:27:00.000,71.4336000000000000,56.62000000000000000,2017-06-16 20:33:53.856
616,616,7,100,PF,2018-02-17 11:33:00.000,12525.0444000000000000,12620.02000000000000000,2018-04-17 04:55:40.821
343,343,3,98,PF,2021-03-16 13:10:00.000,86.8801999999999900,7.78621529431150350,2021-06-28 01:12:07.465
618,618,7,100,PF,2022-06-12 10:56:00.000,2659.1825491472778000,2807.10629725699750000,2022-12-29 05:32:55.814
804,804,7,7,PF,2021-12-09 15:33:00.000,2553.0107008423950000,2430.22116586640300000,2022-12-30 10:43:39.594
441,441,4,35,PF,2020-09-04 14:38:00.000,879.9128716655787000,833.04434142289190000,2020-12-23 08:08:02.412
862,862,7,7,PF,2021-01-18 15:02:00.000,707.3087999999999000,657.87999999999990000,2021-02-21 18:16:05.614
136,136,6,44,PF,2021-01-24 12:29:00.000,582.2091000000000000,520.57000000000000000,2022-12-30 22:35:48.162
694,694,1,75,PF,2019-06-21 15:14:00.000,102.6802722734692400,66.38595079739098000,2019-11-06 12:56:50.158
235,235,2,94,PF,2013-06-02 15:27:00.000,23770.6272000000060000,21954.48000000000300000,2014-08-06 07:30:44.153
69,69,2,90,PF,2019-11-04 14:01:00.000,20300.6813651013580000,20077.97451990233500000,2020-01-03 21:43:57.688
494,494,7,14,PF,2021-12-07 13:43:00.000,484.4761999999999000,370.98999999999990000,2022-12-30 14:29:38.441
677,677,7,33,PF,2018-04-28 13:18:00.000,11911.9514000000020000,11220.61000000000000000,2019-04-09 03:42:59.947
690,690,1,36,PF,2014-11-14 10:16:00.000,1028.5696014094558000,1452.76960140945580000,2016-08-08 04:13:48.839
262,262,7,7,PF,2022-11-07 13:14:00.000,312.0746000000000000,305.99999999999994000,2022-12-25 13:54:55.153
279,279,3,91,PF,2022-12-20 11:21:00.000,40.4085536134444200,8.93160544994603700,2023-01-04 01:41:16.554
287,287,7,42,PF,2018-11-26 13:11:00.000,41684.4295152811100000,42927.91867554754000000,2019-01-14 16:00:01.180
796,796,7,71,PF,2022-04-26 15:38:00.000,375.1163999999999400,320.06999999999994000,2022-10-17 13:20:44.264
703,703,7,71,PF,2021-10-26 12:23:00.000,1455.4752000000000000,1424.62000000000010000,2022-01-08 02:40:42.821
588,588,7,7,PF,2016-04-22 12:40:00.000,8.4101999999999930,109.63999999999999000,2017-11-25 05:41:23.081
259,259,3,51,PF,2020-07-18 14:16:00.000,7590.3716466244330000,7065.85527721909600000,2022-07-15 03:34:17.411
584,584,10,27,PF,2022-06-12 11:42:00.000,806.1273000000001000,764.43000000000010000,2022-07-18 12:16:54.381
769,769,7,71,PF,2018-11-08 12:17:00.000,40499.5472000000150000,38095.02000000001000000,2021-01-30 02:15:58.297
486,486,7,33,PF,2021-11-07 15:52:00.000,648.2772335162290000,606.62864704577120000,2021-12-22 00:41:13.314
889,889,3,91,PF,2017-05-07 13:01:00.000,4872.0160176497200000,4796.30601764972000000,2019-05-09 14:21:10.537
489,489,7,100,PF,2020-01-11 14:36:00.000,2.9539000000000090,80.96000000000001000,2020-05-20 13:21:23.120
75,75,1,32,PF,2011-11-12 11:47:00.000,7767.0445736400590000,7629.80054116986600000,2012-07-13 07:43:34.865
